"id","wave","years","age_baseline","gender","ethnicity","education","weights","trust_science","trust_scientists"
1,"2019",0,42,"Female","NZ European",6,0.97001960969702,7,5.21842580460962
1,"2020",1,42,"Female","NZ European",6,0.97001960969702,6.9596193399712,5.57770469316055
1,"2021",2,42,"Female","NZ European",6,0.97001960969702,7,5.84458351961707
1,"2022",3,42,"Female","NZ European",6,0.97001960969702,7,6.23070663466307
1,"2023",4,42,"Female","NZ European",6,0.97001960969702,7,5.80369854499135
2,"2019",0,47,"Female","NZ European",5,0.923828199711448,4.99898745241457,5.03062459211427
2,"2020",1,47,"Female","NZ European",5,0.923828199711448,5.12976047477081,5.30232726772018
2,"2021",2,47,"Female","NZ European",5,0.923828199711448,5.31281305597291,5.00689944491203
2,"2022",3,47,"Female","NZ European",5,0.923828199711448,5.11401072105465,5.16073916789286
2,"2023",4,47,"Female","NZ European",5,0.923828199711448,5.4275042480754,4.98257066870175
3,"2019",0,73,"Male","Asian",1,1.10371807971082,3.51947579387107,2.4527864618292
3,"2020",1,73,"Male","Asian",1,1.10371807971082,NA,NA
3,"2021",2,73,"Male","Asian",1,1.10371807971082,NA,NA
3,"2022",3,73,"Male","Asian",1,1.10371807971082,NA,NA
3,"2023",4,73,"Male","Asian",1,1.10371807971082,NA,NA
4,"2019",0,51,"Female","Other",3,0.97001960969702,4.81264758906,5.21853974578479
4,"2020",1,51,"Female","Other",3,0.97001960969702,4.93986699613011,5.22599669826735
4,"2021",2,51,"Female","Other",3,0.97001960969702,4.76273348854027,5.17296838398649
4,"2022",3,51,"Female","Other",3,0.97001960969702,4.80790649740491,5.11972630005143
4,"2023",4,51,"Female","Other",3,0.97001960969702,4.77492506032547,5.12741945513775
5,"2019",0,52,"Male","NZ European",4,1.12912335520288,5.37072108726246,5.17274441336424
5,"2020",1,52,"Male","NZ European",4,1.12912335520288,5.30001754465349,5.33756740142756
5,"2021",2,52,"Male","NZ European",4,1.12912335520288,5.42663020568952,5.79224056271336
5,"2022",3,52,"Male","NZ European",4,1.12912335520288,5.26322193214154,5.27792566733655
5,"2023",4,52,"Male","NZ European",4,1.12912335520288,5.34070442149683,5.38040563557486
6,"2019",0,76,"Male","NZ European",6,0.959754851922449,6.42134692267257,6.17229004426712
6,"2020",1,76,"Male","NZ European",6,0.959754851922449,NA,NA
6,"2021",2,76,"Male","NZ European",6,0.959754851922449,NA,NA
6,"2022",3,76,"Male","NZ European",6,0.959754851922449,NA,NA
6,"2023",4,76,"Male","NZ European",6,0.959754851922449,NA,NA
7,"2019",0,57,"Female","NZ European",3,0.785253969754731,5.80429649574535,5.99352083066378
7,"2020",1,57,"Female","NZ European",3,0.785253969754731,5.80994703148265,6.07713814262827
7,"2021",2,57,"Female","NZ European",3,0.785253969754731,5.89911330117627,5.835401046132
7,"2022",3,57,"Female","NZ European",3,0.785253969754731,5.69377382336993,5.68335166758034
7,"2023",4,57,"Female","NZ European",3,0.785253969754731,6.00722237386807,6.04580973415392
8,"2019",0,31,"Female","Asian",5,1.22176279411839,5.13186835615632,4.71962522149562
8,"2020",1,31,"Female","Asian",5,1.22176279411839,5.08733001405169,4.70031799313038
8,"2021",2,31,"Female","Asian",5,1.22176279411839,NA,NA
8,"2022",3,31,"Female","Asian",5,1.22176279411839,NA,NA
